Date,Index_Level,iPath_Pure_Beta_Coffee_ETN
2011-04-20,60.078,50.00
2011-04-21,59.1234,49.20
2011-04-22,59.1234,49.20
2011-04-23,59.1234,49.20
2011-04-24,59.1234,49.20
2011-04-25,58.4077,48.60
2011-04-26,59.5018,49.51
2011-04-27,59.5019,49.51
2011-04-28,60.0391,49.96
2011-04-29,60.1685,50.06
2011-04-30,60.1685,50.06
2011-05-01,60.1685,50.06
2011-05-02,61.223,50.94
2011-05-03,61.4419,51.12
2011-05-04,59.1346,49.20
2011-05-05,57.8916,48.16
2011-05-06,57.7623,48.05
2011-05-07,57.7623,48.05
2011-05-08,57.7623,48.05
2011-05-09,57.7507,48.04
2011-05-10,56.8177,47.26
2011-05-11,54.9464,45.71
2011-05-12,55.2697,45.97
2011-05-13,54.1783,45.07
2011-05-14,54.1783,45.06
2011-05-15,54.1783,45.06
2011-05-16,53.1361,44.20
2011-05-17,53.5688,44.55
2011-05-18,54.3456,45.20
2011-05-19,53.1166,44.18
2011-05-20,52.212,43.42
2011-05-21,52.212,43.42
2011-05-22,52.212,43.42
2011-05-23,52.8906,43.98
2011-05-24,52.6449,43.78
2011-05-25,53.4119,44.42
2011-05-26,53.5988,44.57
2011-05-27,53.2449,44.27
2011-05-28,53.2449,44.27
2011-05-29,53.2449,44.27
2011-05-30,53.2449,44.27
2011-05-31,53.4812,44.47
2011-06-01,51.8294,43.09
2011-06-02,52.9209,44.00
2011-06-03,54.7008,45.48
2011-06-04,54.7008,45.48
2011-06-05,54.7008,45.48
2011-06-06,52.7541,43.86
2011-06-07,53.2753,44.29
2011-06-08,53.2714,44.28
2011-06-09,53.9287,44.83
2011-06-10,53.619,44.57
2011-06-11,53.619,44.57
2011-06-12,53.619,44.57
2011-06-13,54.0415,44.92
2011-06-14,54.4012,45.22
2011-06-15,53.1126,44.15
2011-06-16,52.1737,43.36
2011-06-17,50.4457,41.93
2011-06-18,50.4457,41.93
2011-06-19,50.4457,41.92
2011-06-20,49.2072,40.89
2011-06-21,49.3371,41.00
2011-06-22,49.1873,40.88
2011-06-23,49.6868,41.29
2011-06-24,50.0465,41.59
2011-06-25,50.0465,41.59
2011-06-26,50.0465,41.59
2011-06-27,50.1565,41.68
2011-06-28,51.7249,42.98
2011-06-29,52.0845,43.28
2011-06-30,53.0635,44.09
2011-07-01,52.674,43.76
2011-07-02,52.674,43.76
2011-07-03,52.674,43.76
2011-07-04,52.674,43.76
2011-07-05,53.8629,44.75
2011-07-06,53.4433,44.40
2011-07-07,53.6631,44.58
2011-07-08,52.6043,43.70
2011-07-09,52.6043,43.70
2011-07-10,52.6043,43.70
2011-07-11,51.7636,43.00
2011-07-12,51.5372,42.81
2011-07-13,52.7097,43.78
2011-07-14,51.6195,42.88
2011-07-15,50.6742,42.09
2011-07-16,50.6742,42.09
2011-07-17,50.6742,42.09
2011-07-18,49.6502,41.24
2011-07-19,48.7837,40.52
2011-07-20,48.7246,40.47
2011-07-21,48.2323,40.06
2011-07-22,48.3997,40.19
2011-07-23,48.3997,40.19
2011-07-24,48.3997,40.19
2011-07-25,48.6755,40.42
2011-07-26,49.0892,40.76
2011-07-27,48.3606,40.16
2011-07-28,47.8584,39.74
2011-07-29,47.9767,39.84
2011-07-30,47.9767,39.83
2011-07-31,47.9767,39.83
2011-08-01,48.3117,40.11
2011-08-02,48.6664,40.40
2011-08-03,48.3514,40.14
2011-08-04,47.2191,39.20
2011-08-05,47.6427,39.55
2011-08-06,47.6427,39.55
2011-08-07,47.6427,39.55
2011-08-08,46.8652,38.90
2011-08-09,46.9736,38.99
2011-08-10,46.9441,38.97
2011-08-11,48.0668,39.90
2011-08-12,48.0275,39.86
2011-08-13,48.0275,39.86
2011-08-14,48.0275,39.86
2011-08-15,49.1207,40.77
2011-08-16,50.2237,41.68
2011-08-17,52.5479,43.61
2011-08-18,52.8631,43.87
2011-08-19,53.1487,44.11
2011-08-20,53.1487,44.11
2011-08-21,53.1487,44.11
2011-08-22,52.8534,43.86
2011-08-23,53.4935,44.39
2011-08-24,53.917,44.74
2011-08-25,54.2617,45.03
2011-08-26,54.9905,45.63
2011-08-27,54.9905,45.63
2011-08-28,54.9905,45.63
2011-08-29,56.0246,46.48
2011-08-30,56.4678,46.85
2011-08-31,56.7731,47.10
2011-09-01,57.0685,47.35
2011-09-02,56.7337,47.07
2011-09-03,56.7337,47.07
2011-09-04,56.7337,47.07
2011-09-05,56.7337,47.07
2011-09-06,55.3354,45.90
2011-09-07,56.0347,46.48
2011-09-08,55.9559,46.42
2011-09-09,53.1789,44.11
2011-09-10,53.1789,44.11
2011-09-11,53.1789,44.11
2011-09-12,53.3661,44.26
2011-09-13,53.2381,44.16
2011-09-14,52.3321,43.40
2011-09-15,51.3178,42.56
2011-09-16,51.2882,42.54
2011-09-17,51.2882,42.54
2011-09-18,51.2882,42.53
2011-09-19,51.6133,42.80
2011-09-20,51.2489,42.50
2011-09-21,49.624,41.15
2011-09-22,47.1226,39.08
2011-09-23,45.5864,37.80
2011-09-24,45.5864,37.80
2011-09-25,45.5864,37.80
2011-09-26,46.4727,38.53
2011-09-27,47.4379,39.33
2011-09-28,45.9902,38.13
2011-09-29,45.5274,37.75
2011-09-30,45.0843,37.38
2011-10-01,45.0843,37.38
2011-10-02,45.0843,37.38
2011-10-03,44.0109,36.49
2011-10-04,44.6215,36.99
2011-10-05,44.848,37.18
2011-10-06,46.1677,38.27
2011-10-07,44.1883,36.63
2011-10-08,44.1883,36.63
2011-10-09,44.1883,36.63
2011-10-10,44.5693,36.94
2011-10-11,44.0054,36.48
2011-10-12,45.1807,37.45
2011-10-13,46.7614,38.76
2011-10-14,47.1303,39.06
2011-10-15,47.1303,39.06
2011-10-16,47.1303,39.06
2011-10-17,46.0528,38.17
2011-10-18,45.5578,37.76
2011-10-19,46.4218,38.47
2011-10-20,45.5578,37.75
2011-10-21,48.0624,39.83
2011-10-22,48.0624,39.83
2011-10-23,48.0624,39.83
2011-10-24,49.2372,40.80
2011-10-25,46.5773,38.59
2011-10-26,45.9949,38.11
2011-10-27,46.1599,38.25
2011-10-28,46.3153,38.37
2011-10-29,46.3153,38.37
2011-10-30,46.3153,38.37
2011-10-31,44.733,37.06
2011-11-01,44.1312,36.56
2011-11-02,44.2185,36.63
2011-11-03,44.7719,37.09
2011-11-04,45.3932,37.60
2011-11-05,45.3932,37.60
2011-11-06,45.3932,37.60
2011-11-07,45.898,38.02
2011-11-08,45.2088,37.45
2011-11-09,45.3253,37.54
2011-11-10,45.3156,37.54
2011-11-11,46.0728,38.16
2011-11-12,46.0728,38.16
2011-11-13,46.0728,38.16
2011-11-14,45.4612,37.65
2011-11-15,47.1213,39.03
2011-11-16,46.4126,38.44
2011-11-17,45.8399,37.96
2011-11-18,46.3738,38.40
2011-11-19,46.3738,38.40
2011-11-20,46.3738,38.40
2011-11-21,46.0147,38.10
2011-11-22,45.9953,38.09
2011-11-23,45.7041,37.85
2011-11-24,45.7041,37.84
2011-11-25,45.1508,37.39
2011-11-26,45.1508,37.38
2011-11-27,45.1508,37.38
2011-11-28,44.2286,36.62
2011-11-29,44.1801,36.58
2011-11-30,45.9955,38.08
2011-12-01,45.7625,37.89
2011-12-02,44.5685,36.90
2011-12-03,44.5685,36.90
2011-12-04,44.5685,36.90
2011-12-05,45.8986,38.00
2011-12-06,45.7724,37.89
2011-12-07,44.6269,36.94
2011-12-08,44.3944,36.75
2011-12-09,44.2205,36.60
2011-12-10,44.2205,36.60
2011-12-11,44.2205,36.60
2011-12-12,42.9348,35.54
2011-12-13,43.2925,35.83
2011-12-14,42.3526,35.05
2011-12-15,42.3046,35.01
2011-12-16,41.7867,34.58
2011-12-17,41.7867,34.58
2011-12-18,41.7867,34.58
2011-12-19,42.602,35.26
2011-12-20,43.2542,35.79
2011-12-21,42.7171,35.35
2011-12-22,42.9952,35.58
2011-12-23,42.6596,35.30
2011-12-24,42.6596,35.30
2011-12-25,42.6596,35.30
2011-12-26,42.6596,35.30
2011-12-27,43.2734,35.80
2011-12-28,44.0215,36.42
2011-12-29,43.5516,36.03
2011-12-30,44.0503,36.44
2011-12-31,44.0503,36.44
2012-01-01,44.0503,36.44
2012-01-02,44.0503,36.44
2012-01-03,44.1176,36.50
2012-01-04,44.0121,36.41
2012-01-05,42.6407,35.27
2012-01-06,43.0723,35.63
2012-01-07,43.0723,35.63
2012-01-08,43.0723,35.63
2012-01-09,43.0915,35.64
2012-01-10,43.8857,36.30
2012-01-11,45.5525,37.68
2012-01-12,45.3867,37.54
2012-01-13,43.7691,36.20
2012-01-14,43.7691,36.20
2012-01-15,43.7691,36.20
2012-01-16,43.7691,36.20
2012-01-17,43.7786,36.20
2012-01-18,43.7313,36.16
2012-01-19,44.0916,36.46
2012-01-20,43.883,36.29
2012-01-21,43.883,36.29
2012-01-22,43.883,36.29
2012-01-23,42.7548,35.35
2012-01-24,42.935,35.50
2012-01-25,42.2997,34.98
2012-01-26,42.7359,35.34
2012-01-27,42.2903,34.97
2012-01-28,42.2903,34.96
2012-01-29,42.2903,34.96
2012-01-30,42.1482,34.85
2012-01-31,41.8923,34.63
2012-02-01,41.7311,34.50
2012-02-02,42.0062,34.73
2012-02-03,42.0821,34.79
2012-02-04,42.0821,34.79
2012-02-05,42.0821,34.79
2012-02-06,42.6228,35.23
2012-02-07,42.9737,35.52
2012-02-08,42.7557,35.34
2012-02-09,41.9403,34.67
2012-02-10,41.7887,34.54
2012-02-11,41.7887,34.54
2012-02-12,41.7887,34.54
2012-02-13,41.258,34.10
2012-02-14,39.6555,32.77
2012-02-15,38.9729,32.21
2012-02-16,38.7265,32.00
2012-02-17,38.9352,32.18
2012-02-18,38.9352,32.18
2012-02-19,38.9352,32.17
2012-02-20,38.9352,32.17
2012-02-21,39.6183,32.74
2012-02-22,38.8219,32.08
2012-02-23,38.841,32.09
2012-02-24,39.154,32.35
2012-02-25,39.154,32.35
2012-02-26,39.154,32.35
2012-02-27,39.3249,32.49
2012-02-28,39.6475,32.76
2012-02-29,39.0692,32.28
2012-03-01,39.2115,32.39
2012-03-02,38.7754,32.03
2012-03-03,38.7754,32.03
2012-03-04,38.7754,32.03
2012-03-05,38.7474,32.01
2012-03-06,37.1353,30.68
2012-03-07,36.2725,29.96
2012-03-08,36.4323,30.09
2012-03-09,35.8221,29.59
2012-03-10,35.8221,29.59
2012-03-11,35.8221,29.59
2012-03-12,35.5564,29.37
2012-03-13,35.8078,29.57
2012-03-14,35.3174,29.17
2012-03-15,35.6445,29.44
2012-03-16,35.0771,28.97
2012-03-17,35.0771,28.97
2012-03-18,35.0771,28.97
2012-03-19,35.2986,29.15
2012-03-20,35.3179,29.16
2012-03-21,35.5296,29.34
2012-03-22,34.0389,28.11
2012-03-23,34.3853,28.39
2012-03-24,34.3853,28.39
2012-03-25,34.3853,28.39
2012-03-26,34.3951,28.40
2012-03-27,36.04,29.76
2012-03-28,35.0109,28.91
2012-03-29,33.9433,28.02
2012-03-30,35.0976,28.98
2012-03-31,35.0976,28.98
2012-04-01,35.0976,28.97
2012-04-02,35.8192,29.57
2012-04-03,35.6558,29.43
2012-04-04,35.5405,29.34
2012-04-05,35.2039,29.06
2012-04-06,35.2039,29.06
2012-04-07,35.2039,29.06
2012-04-08,35.2039,29.06
2012-04-09,34.2519,28.27
2012-04-10,34.2616,28.28
2012-04-11,34.7143,28.65
2012-04-12,35.0607,28.94
2012-04-13,34.3184,28.32
2012-04-14,34.3184,28.32
2012-04-15,34.3184,28.32
2012-04-16,33.5022,27.65
2012-04-17,33.277,27.46
2012-04-18,33.3334,27.51
2012-04-19,33.4555,27.61
2012-04-20,34.0562,28.10
2012-04-21,34.0562,28.10
2012-04-22,34.0562,28.10
2012-04-23,34.047,28.09
2012-04-24,34.8729,28.77
2012-04-25,33.6436,27.76
2012-04-26,33.4654,27.61
2012-04-27,33.5405,27.67
2012-04-28,33.5405,27.67
2012-04-29,33.5405,27.67
2012-04-30,34.1226,28.15
2012-05-01,34.9955,28.87
2012-05-02,34.7516,28.67
2012-05-03,33.4659,27.61
2012-05-04,33.2596,27.44
2012-05-05,33.2596,27.44
2012-05-06,33.2596,27.44
2012-05-07,33.3537,27.51
2012-05-08,33.2787,27.45
2012-05-09,33.3069,27.47
2012-05-10,33.9639,28.01
2012-05-11,33.6731,27.77
2012-05-12,33.6731,27.77
2012-05-13,33.6731,27.77
2012-05-14,33.8329,27.90
2012-05-15,33.9174,27.97
2012-05-16,33.8237,27.89
2012-05-17,34.2179,28.22
2012-05-18,34.0303,28.06
2012-05-19,34.0303,28.06
2012-05-20,34.0303,28.06
2012-05-21,33.2892,27.45
2012-05-22,33.1297,27.32
2012-05-23,31.7502,26.18
2012-05-24,31.7596,26.19
2012-05-25,31.9568,26.35
2012-05-26,31.9568,26.35
2012-05-27,31.9568,26.35
2012-05-28,31.9568,26.35
2012-05-29,31.516,25.98
2012-05-30,31.3096,25.81
2012-05-31,30.587,25.22
2012-06-01,30.0051,24.74
2012-06-02,30.0051,24.74
2012-06-03,30.0051,24.73
2012-06-04,30.1837,24.88
2012-06-05,29.7426,24.52
2012-06-06,29.6582,24.45
2012-06-07,29.7334,24.51
2012-06-08,29.541,24.35
2012-06-09,29.541,24.35
2012-06-10,29.541,24.35
2012-06-11,29.4035,24.23
2012-06-12,29.1425,24.02
2012-06-13,28.9378,23.85
2012-06-14,28.3503,23.36
2012-06-15,28.5157,23.50
2012-06-16,28.5157,23.50
2012-06-17,28.5157,23.50
2012-06-18,28.4149,23.42
2012-06-19,29.7737,24.53
2012-06-20,28.617,23.58
2012-06-21,29.7463,24.51
2012-06-22,29.2139,24.07
2012-06-23,29.2139,24.07
2012-06-24,29.2139,24.07
2012-06-25,29.7375,24.50
2012-06-26,31.0229,25.56
2012-06-27,30.8669,25.43
2012-06-28,30.5181,25.14
2012-06-29,31.9045,26.28
2012-06-30,31.9045,26.28
2012-07-01,31.9045,26.28
2012-07-02,32.6209,26.87
2012-07-03,33.6677,27.73
2012-07-04,33.6677,27.73
2012-07-05,33.6495,27.72
2012-07-06,32.9426,27.14
2012-07-07,32.9426,27.13
2012-07-08,32.9426,27.13
2012-07-09,34.0171,28.02
2012-07-10,34.4028,28.34
2012-07-11,34.4396,28.36
2012-07-12,33.9806,27.99
2012-07-13,34.7428,28.61
2012-07-14,34.7428,28.61
2012-07-15,34.7428,28.61
2012-07-16,34.3666,28.30
2012-07-17,33.9811,27.98
2012-07-18,33.9903,27.99
2012-07-19,35.1749,28.97
2012-07-20,34.8169,28.67
2012-07-21,34.8169,28.67
2012-07-22,34.8169,28.67
2012-07-23,34.4591,28.37
2012-07-24,32.7422,26.96
2012-07-25,32.8983,27.09
2012-07-26,32.4853,26.75
2012-07-27,32.4394,26.71
2012-07-28,32.4394,26.71
2012-07-29,32.4394,26.71
2012-07-30,33.2661,27.39
2012-07-31,32.55,26.80
2012-08-01,32.5684,26.81
2012-08-02,32.0084,26.35
2012-08-03,32.4217,26.69
2012-08-04,32.4217,26.69
2012-08-05,32.4217,26.69
2012-08-06,32.725,26.94
2012-08-07,32.1926,26.50
2012-08-08,31.807,26.18
2012-08-09,31.1368,25.63
2012-08-10,31.1002,25.60
2012-08-11,31.1002,25.60
2012-08-12,31.1002,25.60
2012-08-13,30.678,25.25
2012-08-14,30.4853,25.09
2012-08-15,30.2926,24.93
2012-08-16,29.7142,24.45
2012-08-17,29.9714,24.66
2012-08-18,29.9714,24.66
2012-08-19,29.9714,24.66
2012-08-20,30.2196,24.87
2012-08-21,30.1554,24.81
2012-08-22,29.7698,24.49
2012-08-23,29.724,24.46
2012-08-24,29.9169,24.61
2012-08-25,29.9169,24.61
2012-08-26,29.9169,24.61
2012-08-27,30.7344,25.29
2012-08-28,30.8447,25.38
2012-08-29,30.606,25.18
2012-08-30,30.0092,24.69
2012-08-31,30.2573,24.89
2012-09-01,30.2573,24.89
2012-09-02,30.2573,24.89
2012-09-03,30.2573,24.89
2012-09-04,30.3586,24.97
2012-09-05,29.4955,24.26
2012-09-06,29.0548,23.90
2012-09-07,29.9456,24.63
2012-09-08,29.9456,24.63
2012-09-09,29.9456,24.63
2012-09-10,31.8927,26.23
2012-09-11,32.6154,26.82
2012-09-12,32.6137,26.82
2012-09-13,32.8588,27.02
2012-09-14,33.2728,27.36
2012-09-15,33.2728,27.36
2012-09-16,33.2728,27.36
2012-09-17,32.328,26.58
2012-09-18,32.6521,26.85
2012-09-19,32.0942,26.39
2012-09-20,31.0593,25.54
2012-09-21,31.9324,26.26
2012-09-22,31.9324,26.26
2012-09-23,31.9324,26.25
2012-09-24,31.7437,26.10
2012-09-25,31.9868,26.30
2012-09-26,31.2219,25.67
2012-09-27,32.086,26.38
2012-09-28,31.9511,26.27
2012-09-29,31.9511,26.27
2012-09-30,31.9511,26.27
2012-10-01,32.7524,26.92
2012-10-02,33.7515,27.74
2012-10-03,33.2836,27.36
2012-10-04,32.2306,26.49
2012-10-05,30.9796,25.46
2012-10-06,30.9796,25.46
2012-10-07,30.9796,25.46
2012-10-08,31.1598,25.61
2012-10-09,30.5119,25.08
2012-10-10,30.215,24.83
2012-10-11,29.72,24.43
2012-10-12,29.9091,24.58
2012-10-13,29.9091,24.58
2012-10-14,29.9091,24.58
2012-10-15,29.7653,24.46
2012-10-16,30.1165,24.75
2012-10-17,29.8825,24.56
2012-10-18,29.3876,24.15
2012-10-19,29.9097,24.58
2012-10-20,29.9097,24.58
2012-10-21,29.9097,24.58
2012-10-22,30.378,24.96
2012-10-23,29.739,24.43
2012-10-24,29.5591,24.29
2012-10-25,29.7842,24.47
2012-10-26,29.1902,23.98
2012-10-27,29.1902,23.98
2012-10-28,29.1902,23.98
2012-10-29,29.1902,23.98
2012-10-30,29.1902,23.98
2012-10-31,28.6866,23.57
2012-11-01,28.4797,23.39
2012-11-02,28.7588,23.62
2012-11-03,28.7588,23.62
2012-11-04,28.7588,23.62
2012-11-05,28.048,23.04
2012-11-06,27.9761,22.98
2012-11-07,28.0572,23.04
2012-11-08,28.2384,23.19
2012-11-09,28.0062,23.00
2012-11-10,28.0062,23.00
2012-11-11,28.0062,23.00
2012-11-12,28.4837,23.39
2012-11-13,27.2434,22.37
2012-11-14,27.5087,22.59
2012-11-15,27.7209,22.76
2012-11-16,27.4646,22.55
2012-11-17,27.4646,22.55
2012-11-18,27.4646,22.55
2012-11-19,28.3135,23.25
2012-11-20,27.4473,22.54
